sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 1, tps: 111.09, reads/s: 1566.20, writes/s: 0.00, response time: 10.73ms (95%)
[   2s] threads: 1, tps: 137.00, reads/s: 1919.01, writes/s: 0.00, response time: 9.80ms (95%)
[   3s] threads: 1, tps: 146.00, reads/s: 2045.00, writes/s: 0.00, response time: 8.46ms (95%)
[   4s] threads: 1, tps: 154.00, reads/s: 2151.03, writes/s: 0.00, response time: 7.88ms (95%)
[   5s] threads: 1, tps: 156.00, reads/s: 2182.96, writes/s: 0.00, response time: 7.72ms (95%)
[   6s] threads: 1, tps: 161.00, reads/s: 2258.02, writes/s: 0.00, response time: 7.48ms (95%)
[   7s] threads: 1, tps: 164.00, reads/s: 2295.03, writes/s: 0.00, response time: 7.41ms (95%)
[   8s] threads: 1, tps: 163.00, reads/s: 2279.95, writes/s: 0.00, response time: 7.25ms (95%)
[   9s] threads: 1, tps: 168.00, reads/s: 2354.99, writes/s: 0.00, response time: 7.21ms (95%)
[  10s] threads: 1, tps: 164.00, reads/s: 2297.06, writes/s: 0.00, response time: 7.31ms (95%)
[  11s] threads: 1, tps: 174.00, reads/s: 2426.96, writes/s: 0.00, response time: 6.72ms (95%)
[  12s] threads: 1, tps: 174.00, reads/s: 2446.98, writes/s: 0.00, response time: 6.97ms (95%)
[  13s] threads: 1, tps: 172.00, reads/s: 2407.07, writes/s: 0.00, response time: 6.96ms (95%)
[  14s] threads: 1, tps: 178.00, reads/s: 2487.01, writes/s: 0.00, response time: 6.74ms (95%)
[  15s] threads: 1, tps: 181.00, reads/s: 2537.99, writes/s: 0.00, response time: 6.57ms (95%)
[  16s] threads: 1, tps: 182.00, reads/s: 2546.99, writes/s: 0.00, response time: 6.71ms (95%)
[  17s] threads: 1, tps: 175.00, reads/s: 2439.97, writes/s: 0.00, response time: 6.90ms (95%)
[  18s] threads: 1, tps: 174.00, reads/s: 2447.03, writes/s: 0.00, response time: 6.54ms (95%)
[  19s] threads: 1, tps: 112.00, reads/s: 1566.01, writes/s: 0.00, response time: 23.83ms (95%)
[  20s] threads: 1, tps: 189.00, reads/s: 2639.99, writes/s: 0.00, response time: 6.49ms (95%)
[  21s] threads: 1, tps: 181.00, reads/s: 2542.96, writes/s: 0.00, response time: 6.54ms (95%)
[  22s] threads: 1, tps: 184.00, reads/s: 2569.05, writes/s: 0.00, response time: 6.60ms (95%)
[  23s] threads: 1, tps: 186.00, reads/s: 2610.00, writes/s: 0.00, response time: 6.41ms (95%)
[  24s] threads: 1, tps: 189.00, reads/s: 2641.00, writes/s: 0.00, response time: 6.45ms (95%)
[  25s] threads: 1, tps: 188.00, reads/s: 2638.00, writes/s: 0.00, response time: 6.36ms (95%)
[  26s] threads: 1, tps: 189.99, reads/s: 2660.92, writes/s: 0.00, response time: 6.36ms (95%)
[  27s] threads: 1, tps: 188.00, reads/s: 2631.02, writes/s: 0.00, response time: 6.45ms (95%)
[  28s] threads: 1, tps: 189.99, reads/s: 2646.83, writes/s: 0.00, response time: 6.32ms (95%)
[  29s] threads: 1, tps: 191.02, reads/s: 2674.23, writes/s: 0.00, response time: 6.18ms (95%)
[  30s] threads: 1, tps: 191.00, reads/s: 2674.99, writes/s: 0.00, response time: 6.15ms (95%)
[  31s] threads: 1, tps: 187.00, reads/s: 2616.95, writes/s: 0.00, response time: 6.38ms (95%)
[  32s] threads: 1, tps: 197.00, reads/s: 2761.06, writes/s: 0.00, response time: 6.04ms (95%)
[  33s] threads: 1, tps: 195.01, reads/s: 2738.12, writes/s: 0.00, response time: 6.17ms (95%)
[  34s] threads: 1, tps: 189.99, reads/s: 2659.88, writes/s: 0.00, response time: 6.40ms (95%)
[  35s] threads: 1, tps: 111.00, reads/s: 1551.96, writes/s: 0.00, response time: 21.38ms (95%)
[  36s] threads: 1, tps: 191.00, reads/s: 2667.03, writes/s: 0.00, response time: 6.19ms (95%)
[  37s] threads: 1, tps: 191.00, reads/s: 2682.99, writes/s: 0.00, response time: 6.18ms (95%)
[  38s] threads: 1, tps: 191.00, reads/s: 2675.99, writes/s: 0.00, response time: 6.06ms (95%)
[  39s] threads: 1, tps: 188.00, reads/s: 2623.06, writes/s: 0.00, response time: 6.35ms (95%)
[  40s] threads: 1, tps: 198.00, reads/s: 2780.99, writes/s: 0.00, response time: 6.02ms (95%)
[  41s] threads: 1, tps: 193.00, reads/s: 2691.00, writes/s: 0.00, response time: 6.20ms (95%)
[  42s] threads: 1, tps: 196.00, reads/s: 2747.00, writes/s: 0.00, response time: 6.15ms (95%)
[  43s] threads: 1, tps: 202.00, reads/s: 2829.00, writes/s: 0.00, response time: 5.86ms (95%)
[  44s] threads: 1, tps: 195.00, reads/s: 2734.95, writes/s: 0.00, response time: 6.09ms (95%)
[  45s] threads: 1, tps: 201.00, reads/s: 2816.04, writes/s: 0.00, response time: 6.00ms (95%)
[  46s] threads: 1, tps: 201.00, reads/s: 2806.97, writes/s: 0.00, response time: 5.98ms (95%)
[  47s] threads: 1, tps: 196.00, reads/s: 2751.01, writes/s: 0.00, response time: 6.19ms (95%)
[  48s] threads: 1, tps: 200.99, reads/s: 2808.86, writes/s: 0.00, response time: 5.94ms (95%)
[  49s] threads: 1, tps: 200.01, reads/s: 2794.09, writes/s: 0.00, response time: 6.09ms (95%)
[  50s] threads: 1, tps: 201.01, reads/s: 2814.09, writes/s: 0.00, response time: 5.96ms (95%)
[  51s] threads: 1, tps: 203.00, reads/s: 2839.93, writes/s: 0.00, response time: 5.94ms (95%)
[  52s] threads: 1, tps: 197.00, reads/s: 2770.06, writes/s: 0.00, response time: 5.98ms (95%)
[  53s] threads: 1, tps: 204.00, reads/s: 2854.00, writes/s: 0.00, response time: 5.80ms (95%)
[  54s] threads: 1, tps: 205.00, reads/s: 2865.00, writes/s: 0.00, response time: 5.88ms (95%)
[  55s] threads: 1, tps: 199.99, reads/s: 2803.81, writes/s: 0.00, response time: 6.02ms (95%)
[  56s] threads: 1, tps: 204.01, reads/s: 2858.12, writes/s: 0.00, response time: 5.88ms (95%)
[  57s] threads: 1, tps: 201.01, reads/s: 2803.08, writes/s: 0.00, response time: 5.86ms (95%)
[  58s] threads: 1, tps: 203.00, reads/s: 2841.99, writes/s: 0.00, response time: 5.90ms (95%)
[  59s] threads: 1, tps: 202.00, reads/s: 2829.01, writes/s: 0.00, response time: 5.89ms (95%)
[  60s] threads: 1, tps: 206.00, reads/s: 2893.99, writes/s: 0.00, response time: 5.80ms (95%)
[  61s] threads: 1, tps: 204.00, reads/s: 2855.01, writes/s: 0.00, response time: 5.96ms (95%)
[  62s] threads: 1, tps: 210.00, reads/s: 2940.00, writes/s: 0.00, response time: 5.59ms (95%)
[  63s] threads: 1, tps: 203.00, reads/s: 2841.99, writes/s: 0.00, response time: 5.94ms (95%)
[  64s] threads: 1, tps: 204.00, reads/s: 2857.01, writes/s: 0.00, response time: 5.88ms (95%)
[  65s] threads: 1, tps: 208.00, reads/s: 2911.98, writes/s: 0.00, response time: 5.84ms (95%)
[  66s] threads: 1, tps: 209.00, reads/s: 2928.02, writes/s: 0.00, response time: 5.73ms (95%)
[  67s] threads: 1, tps: 162.99, reads/s: 2280.90, writes/s: 0.00, response time: 5.94ms (95%)
[  68s] threads: 1, tps: 206.01, reads/s: 2884.13, writes/s: 0.00, response time: 5.82ms (95%)
[  69s] threads: 1, tps: 203.00, reads/s: 2840.01, writes/s: 0.00, response time: 5.82ms (95%)
