sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 128
Report intermediate results every 1 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[   1s] threads: 128, tps: 5090.50, reads/s: 72274.97, writes/s: 0.00, response time: 37.36ms (95%)
[   2s] threads: 128, tps: 6598.07, reads/s: 92339.92, writes/s: 0.00, response time: 26.28ms (95%)
[   3s] threads: 128, tps: 7126.00, reads/s: 99827.01, writes/s: 0.00, response time: 25.09ms (95%)
[   4s] threads: 128, tps: 7463.98, reads/s: 104552.76, writes/s: 0.00, response time: 24.37ms (95%)
[   5s] threads: 128, tps: 7709.01, reads/s: 107859.08, writes/s: 0.00, response time: 23.88ms (95%)
[   6s] threads: 128, tps: 7980.01, reads/s: 111695.10, writes/s: 0.00, response time: 23.34ms (95%)
[   7s] threads: 128, tps: 8142.99, reads/s: 113972.83, writes/s: 0.00, response time: 22.58ms (95%)
[   8s] threads: 128, tps: 8335.91, reads/s: 116708.73, writes/s: 0.00, response time: 22.11ms (95%)
[   9s] threads: 128, tps: 8363.11, reads/s: 117134.53, writes/s: 0.00, response time: 22.27ms (95%)
[  10s] threads: 128, tps: 8693.97, reads/s: 121763.58, writes/s: 0.00, response time: 21.23ms (95%)
[  11s] threads: 128, tps: 8828.99, reads/s: 123530.86, writes/s: 0.00, response time: 20.52ms (95%)
[  12s] threads: 128, tps: 8956.02, reads/s: 125388.28, writes/s: 0.00, response time: 20.27ms (95%)
[  13s] threads: 128, tps: 9059.89, reads/s: 126859.43, writes/s: 0.00, response time: 20.45ms (95%)
[  14s] threads: 128, tps: 9306.13, reads/s: 130288.82, writes/s: 0.00, response time: 18.89ms (95%)
[  15s] threads: 128, tps: 9326.98, reads/s: 130587.65, writes/s: 0.00, response time: 19.47ms (95%)
[  16s] threads: 128, tps: 9450.03, reads/s: 132259.44, writes/s: 0.00, response time: 18.92ms (95%)
[  17s] threads: 128, tps: 9549.99, reads/s: 133839.82, writes/s: 0.00, response time: 18.97ms (95%)
[  18s] threads: 128, tps: 9721.00, reads/s: 135826.01, writes/s: 0.00, response time: 18.05ms (95%)
[  19s] threads: 128, tps: 9593.95, reads/s: 134449.24, writes/s: 0.00, response time: 19.54ms (95%)
[  20s] threads: 128, tps: 9725.91, reads/s: 136232.72, writes/s: 0.00, response time: 18.03ms (95%)
[  21s] threads: 128, tps: 9755.95, reads/s: 136501.29, writes/s: 0.00, response time: 18.36ms (95%)
[  22s] threads: 128, tps: 9848.18, reads/s: 137943.55, writes/s: 0.00, response time: 17.80ms (95%)
[  23s] threads: 128, tps: 9911.96, reads/s: 138692.45, writes/s: 0.00, response time: 17.52ms (95%)
